ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
GRL,Upernavik,-0.904783281734,72.7885977452,-56.1400559876,-0.1138123203702107
USA,Barrow,-1.7617115986,71.3039629414,-156.730205754,-0.1419479085029294
NOR,Honningsvåg,2.13295139953,71.0049885811,25.9625679666,0.1467956539117311
NOR,Hav?ysund,-0.260669475655,70.9830682753,24.6528026502,-0.0175246822963981
NOR,Kj?llefjord,2.0911392449,70.9438697132,27.3563918679,0.114636990293226
NOR,Berlevåg,1.70042119565,70.8431328719,29.0709211217,0.0895788717233329
GRL,Uummannaq,-1.30751424015,70.6906222627,-52.1297783319,-0.1172421810180714
RUS,Anadyr,1.09817479091,64.7577228527,177.72476125,0.0482364434688086
WLF,Mata'utu,0.928825396825,-13.2791554123,-176.171791167,0.0336625028619367
WSM,Apia,4.00972211809,-13.8522063096,-171.769312273,0.1538840653850031
FJI,Labasa,1.86714614374,-16.4693129916,179.362230365,0.059456991197149
FJI,Lautoka,2.37950176633,-17.6184403079,177.637890721,0.0753920422757697
FJI,Suva,2.40425747481,-18.069089836,178.499677524,0.0784181571238129
FJI,Sigatoka,0.131856977373,-18.1312295117,177.470605869,0.0041418628839907
TON,Neiafu,2.44443084455,-18.6475907814,-173.979846795,0.084326559255872
TON,Nuku'alofa,1.73847542186,-21.1715409923,-175.200800674,0.0599582650299721
NZL,Whakatane,1.05072442342,-37.9630081057,176.985029801,0.0376028282940307
NZL,Opotiki,2.53996590469,-38.013649083,177.299343571,0.0924144280283967
NZL,Kawerau,2.65081762928,-38.0713862131,176.725615498,0.0960377240986903
NZL,Murupara,5.18589380531,-38.4517516135,176.713319855,0.1887831728262685
NZL,Gisborne,2.91456178673,-38.6512830682,178.013268072,0.0962734017870435
NZL,Wairoa,2.14604621258,-39.0298474827,177.43530341,0.069162947357336
NZL,Hastings,2.14316596027,-39.5076465308,176.861013619,0.0695565176347345
CHL,Valdivia,1.37984416741,-39.8194792844,-73.2202487568,0.0508695388120739
NZL,Wanganui,2.67499280269,-39.9259723912,175.060630705,0.0940192098780783
ARG,VILLALONGA,-0.169496159578,-39.9206617443,-62.6141075128,-0.0035933132921513
ARG,Junín de los Andes,0.358830400329,-39.9486526727,-71.0609288745,0.0072901279097499
NZL,Waipukurau,3.01599511059,-39.9757498125,176.572569159,0.0885333461822879
ARG,Piedra del ?guila,-0.969991439602,-40.0208946236,-70.0172919092,-0.0177097973474023
ARG,General Conesa,-4.1428136155,-40.0995487865,-64.4458206334,-0.0825895703295058
NZL,Marton,0.87919185633,-40.0785760766,175.390482554,0.0290748305223582
ARG,San Martín de los Andes,3.42001665989,-40.1514140802,-71.3187134937,0.0997361701999863
NZL,Bulls,0.837904907975,-40.1845978109,175.394347906,0.0265104452262586
ARG,STROEDER,-0.595093364651,-40.1805984736,-62.6152293244,-0.0120620849285907
NZL,Dannevirke,0.444973958333,-40.2084652146,176.119545952,0.0159136988942345
NZL,Feilding,1.13454042942,-40.2254258591,175.585969682,0.0374114700726644
NZL,Palmerston North,2.5231268421,-40.3561303917,175.618413085,0.089396208229447
CHL,Osorno,1.24292630989,-40.5416454725,-73.1524848082,0.0367387878679097
NZL,Foxton,0.670580002994,-40.4679945906,175.28357047,0.0223210027485789
NZL,Levin,3.4886791888,-40.6198802384,175.296598747,0.1340898713425183
ARG,Valcheta,-1.21068168228,-40.6755299341,-66.1505801382,-0.0219690103342216
ARG,San Antonio Oeste,0.404916329285,-40.7341001682,-64.9522136628,0.0085660644549169
NZL,Otaki,4.46763218391,-40.7620789224,175.164631703,0.1839210342018756
ARG,Villa La Angostura,2.5911508637,-40.7629164304,-71.6204862305,0.0981423452252017
ARG,Viedma,-1.06298458138,-40.8136858058,-62.9871417946,-0.0218778904405142
ARG,Los Menucos,-0.868302262444,-40.8410014494,-68.0683382032,-0.0162726829454676
NZL,Takaka,3.51608108108,-40.8526717447,172.810973955,0.1407901215863669
NZL,Kapiti,3.14806750392,-40.911771765,175.041750966,0.1403584597766051
NZL,Masterton,1.99199394976,-40.9543254943,175.658786486,0.0659948051297399
NZL,Carterton,1.02994915254,-41.024947357,175.533872795,0.0334384047968213
AUS,Burnie,0.0772080781011,-41.0766739132,145.898285352,0.0025721307511126
NZL,Wellington,3.61471845228,-41.1927248204,174.920502884,0.1658167484444276
ARG,San Carlos de Bariloche,2.57492458273,-41.1380754802,-71.3509941972,0.084148969987059
NZL,Motueka,2.54743872057,-41.1149908716,172.995945884,0.0988480588017576
AUS,Devonport,2.20557249289,-41.1910014181,146.329818806,0.0715304866167379
